,channel,title,published,description,views,likes,dislikes,comments
52,Dua Lipa,Dua Lipa - Training Season (Official Music Video),2024-02-15T23:00:21Z,"Pre-order 'Radical Optimism', the new album here: https://dualipa.lnk.to/radicaloptimism
Listen to 'Training Season' now: https://dualipa.lnk.to/trainingseason

Subscribe to the Dua Lipa channel for all the best and latest official music videos, behind the scenes and live performances. 
https://www.youtube.com/channel/UC-J-KZfRV8c13fOCkhXdLiQ?sub_confirmation=1

Follow Dua Lipa:
Instagram:  https://instagram.com/dualipa
Facebook: http://facebook.com/dualipa
TikTok: https://www.tiktok.com/@dualipaofficial
Twitter: http://twitter.com/dualipa
WhatsApp: https://dualipa.lnk.to/textme
_

Production Company: Somesuch
Director: Vincent Haycock 
Director of Photography: Rina Yang 
Producer: Whitney Jackson
UK Executive Producer: Tash Tan
US Executive Producer: Alli Maxwell 
UK Head of Production: Georgina Fillmore
Director MV Rep: Alexa Haywood
Commissioner: Theresa Adebiyi

Warner Marketing Director: Lottie Llewellyn 
Management: Radical22
Manager: Dugi Lipa
Day-to-day Manager: Sofia Gold
Marketing Director: Joel Quartey 
Producer: Pete Abbott
EA: Maisy Nicholson
PA: Olivia Moss

Production Supervisor: Meredith Kurey
Production Coordinator: Emily Shulmanovich
1st AD: Kenny Taylor
2nd AD: Ryan Bremond
2nd 2nd AD: Codi Veal 

BTS: Benji Gershon
BTS Stills: Elizabeth Miranda 
BTS Motion: Aysia Marotta 

1st AC: Matt Brewer 
2nd AC: James Jermyn
Lead Tech: Chris Dickson 
CLT: Warren Purfoy
Key Grip: Rudy Covarrubias
Editor: Vincent Haycock 
Editor Assistant: Julie Levy 
Colorist: Dante Pasquinelli 
VFX Company: Goldenchild 
Sound: Tom Paolantonio 

Artist Choreographer: Charm La'Donna 
Artist Choreographer Assist: Sharon June 
Artist Styling : Lorenzo Possoco 
Artist Styling Assist: Rae Hayden 
Artist Hair: Peter Lux 
Artist Makeup: Sam Visser
Beauty: Candy Glaze Lip Gloss Stick - Shade #4 YSL Beauty
Stand In: Samantha Grover 
Artist Nail Tech: Kim Truong

Production Designer: Christian Stone 
Art Coordinator: Christopher Steidle
Assistant Art Coordinator: Elie - Kaya Stone
Assistant Art Director: Kyle Kinsella 
Stunt Rigger: Buddy Sosthand 
Stunt Rigger: Jayson Dumenigo, Jayson Dumenigo
Cast Choreographer: Ryan Heffington 
Cast Choreographer Assist: Ryan Spencer 

Key Costumer: Natasha Newman-Thomas 
1st Assistant Costumer: Peyton Regan
Key Hair: Tilomai Hill 
1st Hair: Stacy Gonzalez
Key Makeup: Lisa Dempsey
1st Makeup: Julie Hassett",57160813,607297,0,17096
53,dojacatVEVO,Doja Cat - Agora Hills (Official Video),2023-09-22T04:00:07Z,"Doja Cat // Agora Hills 

New Album ""Scarlet"" Out Now // https://dojacat.lnk.to/scarlet 

Director | Hannah Lux Davis & Doja Cat 
Executive Producer | Brandon Bonfiglio, Luga Podesta, Andrew Lerios
Label Producer | Sam Houston
Production Company | London Alley
Label | RCA Records, Val Pensa, Gina Messeri
Creative Director | Brett Alan Nelson
Creative Producer | Tatum Abbott
London Alley Team | Jayde Robbins, Zachary Urban, Andrew Hague
Director’s Rep | Tommy Labuda
Producer | Collin Druz
Production Supervisor | Christopher San Andres
Production Coordinator | Connor Bland
1st AD | Ev Salomon
2nd AD | Joy Hubbard
DP | Kate Arizmendi
Drone Team | Drone Dudes, Andrew Peterson, Jake Howard, Ranen Lawe
B Cam Op | Collin Druz
Post Supervisor | Iván Ovalle
Editor | Luis Caraza
Assistant Editor | Chloe Scrushy, Tanner Jackson
Color | Dante Pasquinelli, Ethos Studio
VFX | Max Colt, The Frender, Blackhat VFX
Titles | Blackhat VFX, Karter Krasselt
Gaffer | Jake Lyon
Electrics | J.P. Brennan, Gus Helgerson, Francis Butler, Johnny Franco, Ronnie Ausborne, LeJ Talens, Brandon Alperin, George Sugar, Joel Gill, Steve Hodge, Luis Sandoval
Key Grip | Steve Forbes
Grips | Mark Steuer, Grayson Venters, Eric Fowler, Garrett Dorin, Kyle Serving, Danny Roy
1st AC | Jasmine Chang
2nd AC | Joe Ashi
Film Loader | Jeremy Colegrove
VTR | Robert Morales, Ryan Steward, Luis Santos
Production Designer | Hugh Zeigler, Nucalifornia
Art Coordinator | Matt Toth
Set Decorator | Mary Mitchell Williams
Lead Man | Alex Nawrocki
Prop Master | Samantha Villegas 
Prop Assistant | Yuki
Set Dresser | Ronnie Penizotto, Aaron Wiley, Steven Ramos, Arin Ajamian 
SFX | Runs With Scissors FX
Stunt Coordinator | Paul Lacovara
Doja Cat Management | Gordan Dillard, Makena Wasserman, Whitney Jones, Josh Kaplan
Doja Cat Creative Director/Stylist| Brett Alan Nelson
Doja Cat Wardrobe Asst | Tumas Zarskus 
Doja Cat Makeup | Ernesto Casillas
Doja Cat Hair | Jes Jewel, Neil Lucas
Doja Cat Nails | Saccia Livingston
Doja Cat Tailor | Tia Usher
Cast Wardrobe | AnnMarie Hoang
Cast Wardrobe Assistant | Mizuki
Cast Makeup | Kenna Reef
Cast Makeup Assistant | Katelyn Patty
Cast Hair | Yalina Flores
Cast Hair Assistant | Rosie Sanchez, Lo Fitch
Cast Nails | Touko, Britney Tokyo
Casting Director | Kasia Szarek
Movement Coach for Cast | Denna Thomsen
It Girl Posse:
Mette @mettenarrative
Vampire Chinese (Nio) @vampirechinese
Katrina Motes @katrinamotes
Kat Marikoz @katmarikoz
Kunt Fetish @kuntfetish
Guvmanian (Lee) @guvmanian
Princess Gollum (Josephine) @princessgollum
Aliyah’s Interlude @aliyahsinterlude
PA’s | Naomi Wight, Kevin Brennan, Austin Tong, Aris Ray, Bryan Uribe, Richard Chicas, Ethan Sandman, Brandon Murphy, Dion O’Joe, Aymane Assadi, Jared Masten

Follow Doja Cat:
http://www.dojacat.com/
https://www.instagram.com/dojacat/
https://twitter.com/DojaCat
https://www.facebook.com/DojaCat
 
Subscribe to Doja Cat's Official YouTube Channel: https://DojaCat.lnk.to/YTSubscribe

Chorus:
Kissin' and hope they caught us (Ah)
Whether they like or not (Not)
I wanna show you off (Off)
I wanna show you off (Off)
I wanna brag about it (Yeah)
I wanna tie the knot (Knot)
I wanna show you off (Off)
I wanna show you off (Off)

 
#DojaCat #AgoraHills #Scarlet",56727383,1078091,0,35939
54,BillieEilishVEVO,Billie Eilish - LUNCH (Official Music Video),2024-05-17T16:00:06Z,"HIT ME HARD AND SOFT (WITH ALL ISOLATED VOCALS) is available now to download: https://BillieEilish.lnk.to/ISOLATED 

HIT ME HARD AND SOFT, the new album from Billie Eilish, is out now. Shop exclusive vinyl and CD: https://BillieEilish.lnk.to/Store 

Directed by Billie Eilish

Listen to HIT ME HARD AND SOFT: http://BillieEilish.lnk.to/HITMEHARDANDSOFT 
Get tickets: https://BillieEilish.lnk.to/TourDates

Follow Billie Eilish:
TikTok: https://BillieEilish.lnk.to/TikTok
Instagram: https://BillieEilish.lnk.to/Instagram
Facebook: https://BillieEilish.lnk.to/Facebook
Twitter: https://BillieEilish.lnk.to/Twitter
YouTube: https://www.youtube.com/billieeilish 
WhatsApp: https://BillieEilish.lnk.to/WhatsApp 
Email: https://BillieEilish.lnk.to/SignUp 
Store: https://BillieEilish.lnk.to/Store 
Cell: +1 (310) 807-3956 

Music video by Billie Eilish performing LUNCH. © 2024 Darkroom/Interscope Records

http://vevo.ly/GpeC7b",55422576,1276431,0,59371
55,Dasha,Dasha - Austin (Official Music Video),2024-04-24T10:00:06Z,"Listen to Dasha's ""Austin"": https://DASHA.lnk.to/Austin
Listen to Dasha's 'What Happens Now?': https://DASHA.lnk.to/whathappensnow

Follow Dasha:
Instagram: https://www.instagram.com/dashamusic/
TikTok: https://www.tiktok.com/@dasha
Facebook: https://www.facebook.com/dashanovotny
YouTube: https://www.youtube.com/channel/UCqUsyV0QGES5xXA34vHQebg

Credits:
Guest starring Jaden Hossler

LABEL @warnerrecords 
EVP, Creative - Norman Wonderly 
Sr. Director, Creative - Claire Vogel
Marketing Director - TJ Landig 
Marketing & Commerce - Benjamin Farber

ARTIST TEAMS
Dasha Manager, Team A - Alexandre Lunt @drephillippe 
Publicist, King Publicity - Avery King @averyeking 
JXDN Manager, The Familie - Shannon Bayersdorfer @shanbayersdorfer

PRODUCTION COMPANY @echobendpictures 
Director - Hunter Moreno @huntermoreno 
EP - Zubin Anklesaria 
Producer - Danielle Wright @danielleswright
Local Producer - Taylor Vermillion @thetaylorvermillion 
Production Manager/1st AD - Mitchka Saberi @mitchkasaberi  
Dir. Assistant - Addison O’Connor @addi.oconnor 

DP - Logan Meis @loganmeis  
Steadicam - Brian Skinner @skinner_bw 
1st AC - Rocky Linderman @rockylinderman  
2nd AC - Allison Alonzo @allisonwithacamera  

Gaffer - Justin Hughes 
Key Grip - Chris Eaton @chriseaton_avw  
Swing - Garland Gallaspy
Swing - Nancie Kang @kanggedom 

Choreographer - Penny Wild @pennywildmusic 

Production Designer - Megan Erwin @megan___may 

Stylist - Ali Mullin @alimullin 
Styling Assistant - Georgia Smith @georgializa 
Makeup Artist - Karly Ketelle @makeupkarly 

Key PA - Kevin Vermillion @thekevinvermillion 
PAs - Patrick Tyler, Anna Schaeffer, Bailey Marie
DASHA’S BAND
Guitar - Tate Howell
Drummer - Gunnar Streuli @gunnarstreuli 
Fiddle Player - Nicole Trotta @nicoleeetrotta 

POST PRODUCTION @echobendpictures 
Editor - Logan Meis @loganmeis 
Assistant Editor - Francisco Lopez @les.cactus7 
VFX - Diana Iatsenko @deeyats 
Colorist - Roy Sun @coloristroy

Lyrics:
We had a plan 
Move out of this town baby 
West to the sand We had a
It’s all we talked about lately 
I’d pack the car, bring your guitar and Jane for smoking 
First thing at dawn you’d cue the songs and we’d get going

But you weren’t home 
Waited on the porch for ya 
Sat there alone
All throughout the morn till I
Got a hunch, down in my gut 
And snuck around the back 
Empty cans and I’ll be damned 
Your shit was never packed 

Did your boots stop workin? 
Did your truck break down?
Did you burn through the money? 
Did your ex find out? 
Where there’s a will then there’s a way and I’m damn sure you lost it 
Didn’t even say goodbye
Just wish I knew what caused it 

Was the whiskey flowing? 
Were you in a fight?
Did the nerves come get ya? 
What’s your alibi?
I made my way back to LA, and that’s where you’ll be forgotten 
In 40 years you’ll still be here, drunk, washed up in Austin 

A hell of bluff
You had me believin’
How many months
Did you plan on leaving
What happened, bad habits 
Did you go back,
Go batshit 
I loved you, how tragic

Did your boots stop workin? 
Did your truck break down?
Did you burn through the money? 
Did your ex find out? 
Where there’s a will then there’s a way and I’m damn sure you lost it 
Didn’t even say goodbye
Just wish I knew what caused it 

Was the whiskey flowing? 
Were you in a fight?
Did the nerves come get ya? 
What’s your alibi?
I made my way back to LA, and that’s where you’ll be forgotten 
In 40 years you’ll still be here, drunk, washed up in Austin

#Dasha #Austin",52628966,269914,0,7266
56,MetroBoominVEVO,"Metro Boomin, The Weeknd, 21 Savage - Creepin' (Visualizer)",2022-12-02T05:00:04Z,"Download/stream ‘Heroes & Villains’ by Metro Boomin now: https://MetroBoomin.lnk.to/HeroesandVillains
 
Connect with Metro Boomin:
https://twitter.com/metroboomin
https://www.instagram.com/metroboomin/
https://www.instagram.com/boominati/
https://www.tiktok.com/@officialmetroboomin
https://www.facebook.com/MetroBoomin/
https://www.boominatiworldwide.com/
 
#MetroBoomin #HeroesAndVillains

Music video by Metro Boomin, The Weeknd, 21 Savage performing Creepin' (Visualizer). © 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc.

http://vevo.ly/qWbRLq",51564192,584738,0,7098
57,TemsVEVO,Tems - Me & U (Official Video),2023-10-05T16:00:02Z,"Listen to “Me & U” here: 
https://tems.lnk.to/meandu

director @temsbaby

ep / creative producer @yaro____
dp @ayindeanderson_
head of prod @matissephlip
prod manager / post producer @ebearcook
label producer @kayynicole__
supervising prod @tristantansu
creative assist @laurentlawson
movement director/choreographer:  
@nat_zangi

prod company @northofnowfilms
local production @thelsproductions

ac olivier ludot
loader ariane vallin
phantom op david marie bernard coiffier
camera assist solal bismuth

edit @troycharbonnet
color @dantegiani
vfx @neokerz

stylist @dunsinwright
hair styling @nikkinelms
mua @lakesanu
bts @cliffordprinceking @betttencourt

Follow Tems:
Facebook: https://www.facebook.com/temsbaby
Twitter: https://twitter.com/temsbaby
Instagram https://www.instagram.com/temsbaby/
TikTok: https://www.tiktok.com/@temsbaby?lang=en
Website: https://www.leadingvibe.com/

#Tems #MeandU #Afrobeats",51375322,470550,0,13348
58,Benson Boone,Benson Boone - Slow It Down (Official Music Video),2024-03-21T23:00:18Z,"Benson Boone - Slow It Down (Official Music Video)

Listen to 'Fireworks & Rollerblades' the debut album from Benson Boone now at: https://BensonBoone.lnk.to/FireworksRollerblades
Listen to the song now at: https://BensonBoone.lnk.to/SlowItDown

🔔 Subscribe to Benson's Channel: https://bit.ly/3RV5Na8

Follow Benson Boone:
http://www.BensonBoone.com
https://www.Tiktok.com/@bensonboone
http://www.Instagram.com/BensonBoone
http://www.Twitter.com/BensonBoone
http://www.Facebook.com/BensonBoone

Credits:
Directed and edited by Matt Eastin
Produced by Violet Media, Inc.
Director of Photography Ty Arnold
Additional footage by Aaron Hymes
Production Coordinators: Ren Wightman and Shane Gelinas
Graphics and titles by GreatWork
Lighting Design by Joshua Carrasco
G&E:  Adrian Ramirez and Gavin Samples
Production Assistants:  McLean Long & Violet Aseneth

Writer(s) : Benson Boone, Connor McDonough, Jackson LaFrantz Larsen, Jason Evigan, Riley
McDonough
Masterer : Randy Merrill
Mixer : Alex Ghenea
Producer : Connor McDonough, Jason Evigan, Riley McDonough

Lyrics:
I’d never met you but I wanted
To invite you to the party
Then you walked in
With those green eyes never stolen by nobody

And they flicker to the future
For a moment I could picture
Then you touch me
And I come back and we’re talking on the staircase

Bout your big dreams, on the big screen
Out of Georgia now you’re lonely in this city
Lying with me
And you’re scared it’s moving quickly

Now you’re crying
You’re in pieces
Cause the only love you’ve ever known is Jesus
I can feel it
And I hate that I’m the reason that you’re
You’re in your head right now
While your whole world is spinning out

So slow it down
Take a moment now
We’re too young to drown
Deep in dirty waters
Full of hopeless doubts
Let me pull you out
Let me hold you now
let me help you slow it down

Ain’t it funny, how it changes
How a future rearranges
I get nervous, oh I’m anxious
Maybe loving you is dangerous
I could lose you like the others
Only girl that’s never left me is my mother
Oh I love her
And I know you probably hate it

But I’m in my head my head right now

So slow it down
Take a moment now
We’re too young to drown
Deep in dirty waters
Full of hopeless doubts
Let me pull you out
Let me hold you now
let me…

Slow it
Slow it down
When you’re on the ground
And you’re crying
I’m just trying
To slow it down
When you’re spinning round
In your head

I’ll help you slow it down

#BensonBoone #SlowItDown #FireworksandRollerblades",49484060,432807,0,11360
59,Jordan Adetunji,Jordan Adetunji - KEHLANI [Official Video],2024-06-10T18:00:06Z,"The official video for Jordan Adetunji “KEHLANI” - OUT NOW

Listen to KEHLANI Here: 
https://bio.to/JordanAdetunji

Social Links: 
www.tiktok.com/jordanadetunji
www.instagram.com/jordanadetunji
www.x.com/jordanadetunji
www.jordanadetunji.com

Prod. By prodbyli & villabeatz 

Written & Mixed & mastered by Jordan Adetunji

Video Credits: 

Director x Producer: @ov.ie
Production company: @Wearepolygon
Music producers: @Prodbyli, @Villabeatz
AD, Assistant producer: @taradev1
AC, Gimbal Op: @Ak_Productions789
AC, B Cam, Gaffer: @Wicked.Visuals
Picture car/Driver: @RyanleeDouglas
Editor, Colourist, VFX, drone pilot: @Ov.ie 
Models: @KingKarine, @Carmen_Antkowiak, @Yungasianbay, @TaraDev1, @Esexsabby, @Dascillaa, @t.modelsmanagement
Stylist: @dead_stockvintage @noeybrownsconn
Stylist assistant: @styledbyraro
MUA: @Glam.H3r @Mujo.dbn @majstudiodbn
Studio: @The_Playground_HQ
Supermarket: @Centra_irl

LYRICS: 

[Intro]

YOU GOT YOU…

YOU GOT POTENTIAL

[Chorus]
I like the way your body is (I do)
Is that too obvious?
Okay, I like your confidence (I do)
Oh, that's what good karma is, okay
Li' like Kehlani is, bad just like Kehlani is, okay
Here where the party is, right here where the party is
You boutta—, you boutta start a whole fire, uh (Fire)
Now, I'm on fire, uh
I need some water, need Tyla, uh
I need Romani, Rebecca, Serena, Selena, let's start a whole choir, uh
I like the way that you get your bag, you don't no one help you inspire, huh

[Verse 1]
But I'ma add to you, I'ma give you some bands, I'ma add to you (To you)
Been on the avenue and I ain't never seen no one bad as you (Nobody bad)
Baby, I'm savage too, they can't disrespect you, I'll gladly shoot (Uh-huh)
I don't play about mine, I don't care
I'm addicted to you and it's clear

[Chorus]
I like the way your body is (I do)
Is that too obvious?
Okay, I like your confidence (I do)
Oh, that's what good karma is, okay
Li' like Kehlani is, bad just like Kehlani is, okay
Here where the party is, right here where the party is
You boutta—, you boutta start a whole fire, uh (Fire)
Now, I'm on fire, uh
I need some water, need Tyla, uh
I need Romani, Rebecca, Serena, Selena, let's start whole choir, uh
I like the way that you get your bag, you don't no one help you inspire, huh

[Verse 2]
Baby, let's make movie (Let's make movie)
Come and seduce me (Uh-huh)
Know that I'm choosy (Uh)
I need you to back it up
Make it clap, that ain't fast enough
You know I'm man enough
And I don't play about it, you know that I'm bout it

[Chorus]
I like the way your body is (I do)
Is that too obvious?
Okay, I like your confidence (I do)
Oh, that's what good karma is, okay
Li' like Kehlani is, bad just like Kehlani is, okay
Here where the party is, right here where the party is
You boutta—, you boutta start a whole fire, uh (Fire)
Now, I'm on fire, uh
I need some water, need Tyla, uh
I need Romani, Rebecca, Serena, Selena, let's start a whole choir, uh
I like the way that you get your bag, you don't no one help you inspire, huh

#JordanAdetunji #KEHLANI #OfficialVideo",46362048,497737,0,9783
60,Artemas,Artemas - i like the way you kiss me (lyric video),2024-03-19T04:00:13Z,"“i like the way you kiss me” out now https://artemas.lnk.to/ilikethewayyoukissme
pretty tour tickets: https://www.artem.as/#live

Follow Artemas:
https://www.tiktok.com/@artemasaltalt
https://www.instagram.com/artemas___/
https://twitter.com/Artemas___
https://discord.com/invite/spYNNpwEnP 
https://www.artem.as/ 

lyrics:

I like the way you kiss me
I like the way you, uh

I like the way you kiss me
I can tell you miss me
I can tell it hits, hits, hits, hits

Not trynna be romantic
I’ll hit it from the back
Just so you don’t get attached 

I like the way you kiss me
I can tell you miss me
I can tell it hits, hits, hits, hits

Not trynna be romantic
I’ll hit it from the back
Just so you don’t get attached 

You bite my lip
Just for the taste
You’re on your knees
I’m on the case

You take the heat
And with such grace
You say we’re done but here u stay

Said you’re scared I’ll let you down
Stick around and you’ll find out
Don’t you wanna make me proud
Cause I’m so proud
Baby I’m so proud of you

I like the way you kiss me
I can tell you miss me
I can tell it hits, hits, hits, hits

Not trynna be romantic
I’ll hit it from the back
Just so you don’t get attached 

I like the way you kiss me
I can tell you miss me
I can tell it hits, hits, hits, hits

Not trynna be romantic
I’ll hit it from the back
Just so you don’t get attached 

Do I stress you out? 
Can I help you out ?
Does it turn you on
When I turn you round?
Can we make a scene
Can we make it loud
Cause I’m so proud
Yeh I’m so proud of you

#artemas #ilikethewayyoukissme",43272419,548073,0,9557
61,Teddy Swims,Teddy Swims - Bad Dreams (Official Music Video),2024-09-13T04:00:08Z,"Stream ""Bad Dreams"" now: https://TeddySwims.lnk.to/BadDreams
Pre-Save I've Tried Everything But Therapy Pt.2: https://TeddySwims.lnk.to/ITEBTpt2

Follow Teddy Swims:
https://www.instagram.com/teddyswims
https://facebook.com/teddyswims404
https://twitter.com/teddyswims
https://soundcloud.com/teddyswims
https://www.tiktok.com/@teddyswims

Join Teddy Swims' mailing list: https://TeddySwims.lnk.to/signup


LYRICS:
Sun is going down, time is running out
No one else around but me
Steady losing light
Steady losing my mind
Moving shadows and grinding teeth

Without you, there ain't no place for me to hide
Without you, there's no way I can sleep tonight
What I’d do for a little bit of peace and quiet
Without you I keep

Slippin into bad dreams
Where there’s no you and I
No sound when I cry
I love you and I need you to set me free
From all of these bad dreams
Waiting on the other side
No sound when I cry
I love you and I need you to set me free from all of these, all of these 
(ooh) Bad dreams
(ooh) All of these, baby, please

Come around
Help me settle down
Hellish habits can cloud my head
What you waiting for
Something physical
I can’t do this by myself

Without you, there ain't no place for me to hide
Without you, there's no way I can sleep tonight
What I’d do for a little bit of peace and quiet
Without you I keep

Slippin into bad dreams
Where there’s no you and I
No sound when I cry
I love you and I need you to set me free
From all of these (all of these) bad dreams
Waiting on the other side
No sound when I cry
I love you and I need you to set me free (set me free) from all of these, all of these
(ooh) Bad dreams, baby, please
(ooh) All of these (baby, please) all of these


CREDITS:
Director/Editor/VFX - Orie McGinness
Executive Producer - Mike Taylor
Producer - Dana Willax
Producer - Tanner Gordon
Production Company - Spvce Studio
Cinematographer - Garrett Hoffmann
VFX - Paiton Hebert
Stylist - Tara Nichols
Stylist Asst - Jennifer Collao
HMUA - Morgan Grimes
1st AC - Trevor Jackson
2nd AC - Matt Lemus
Camera Prep - Jordan Edwards
Steadicam - Chris Pinto
Techno Crane - Eli Franks
Gaffer - Nick Schulte
Key Grip - Mathew Seest
Bestboy Grip - Hugo Martinez
Grip - Mason McLaury
Grip - Jesus Munoz
Bestboy Electric - Randy Nguyen
Electric - Kevin Cecil
Electric - Spencer Dubiach
Stunts - Brandon Belieu 
Stunt Rigging - Maxwell Heavenrich
Production Designer - Reece Scarpignato
Art Director - Mag Rodriguez-Carlos
Construction - Nicholas Scarpignato
Construction - Callan Low
Construction - Jonny Yuecheng Sun
Art PA - Andres Rodrigez
Art PA - Christopher Condon
Production Assistant - Jessie Harris
Production Assistant - Elle Mika
Production Assistant - Kate Hill
Production Assistant - Daniel Burks
Truck PA/Grip - Kevin Frame
Truck PA/Grip - Charlie Lenz
Truck PA - Anthony Espinoza
Truck PA - Josiah Miller

#teddyswims #soulmusic #baddreams",42888563,399434,0,10672
62,ChappellRoanVEVO,Chappell Roan - HOT TO GO! (Official Music Video),2023-08-11T16:00:06Z,"Stream ""HOT TO GO!"": https://ChappellRoan.lnk.to/HotToGoSingle  
Pre-save ""The Rise and Fall of a Midwest Princess"" coming 9/22: https://chappellroan.lnk.to/RAFMPps

Directed by Jackie! Zhou
Cinematography by Ryan Clemens
Production Company: Discordia
Produced by Gia Rigoli, Vero Kompalic, Andres White
Edited by Dan Carr
Colorist: Nick Lindell-Wright
Stylist: Genesis Webb
Featuring: Tina HC, Ether, Preston Schaeffer, Dalton Stockton
1st AC: Jacob O’Connor
Intern: Jack Wang
Production Assistant: Caden Lingenfelser
Sound: Adrian Schiavi
Color Producer: Ben Ferren
Island Records: Natasha Kilibarda
State of the Art Management: Nick Bobetsky, Ruby Anton
Special Thanks: Kara Amstutz, Old Fast Glass, Kad-E-Korner, Gary's Gay Parita, Alamo Drafthouse, Kirk Rios-Young, Gillioz Theatre, Joy Bilyeu-Steele, Garrett Smalley, Matt Tomboc, Joy Bilyeu-Steele Getaway Golf, Ashley Elrod, Jackson Byrd, Jackson Anderson, Nathaniel Young , Bradley Blecher, Aaron and Stephanie from Ozark Empire Fairgrounds

Subscribe for more official content from Chappell Roan: https://ChappellRoan.lnk.to/SubscribeID
 
Connect with Chappell Roan:
http://iamchappellroan.com
https://facebook.com/chappellroan
https://instagram.com/chappellroan
https://twitter.com/chappellroan
https://soundcloud.com/chappellroan
https://www.tiktok.com/@chappellroan
https://laylo.com/chappellroan
 
#ChappellRoan #TheRiseandFallofaMidwestPrincess

LYRICS

I could be the one or your new addiction
It’s all in my head but I want non-fiction
I don’t want the world but I’ll take this city who can blame a girl call me hot not pretty 

Baby don’t you like this beat
I made so you’d sleep with me
It’s like a hundred ninety-nine degrees 
When you’re doing it with me, doing it with me

H-O-T-T-O-G-O
Snap n’ clap n’ and touch your toes 
Raise your hands now body roll 
Dance it out you’re hot to go
H-O-T-T-O-G-O 
Snap n’ clap n’ touch your toes 
Raise your hands now body roll 
H-O-T-T-O-G-O

H-O-T-T-O-G-O
YOU CAN TAKE ME HOT TO GO 
H-O-T-T-O-G-O
YOU CAN TAKE ME HOT TO GO 

Well I woke up alone Staring at my ceiling
I try not to care but it hurts my feelings
You don’t have to stare come here get with it
No one’s touched me there in a damn hot minute

And baby don’t you like this beat
I made so you’d sleep with me
It’s like a hundred ninety-nine degrees 
When you’re doing it with me, doing it with me

H-O-T-T-O-G-O
Snap n’ clap n’ and touch your toes 
Raise your hands now body roll 
Dance it out you’re hot to go
H-O-T-T-O-G-O 
Snap n’ clap n’ touch your toes 
Raise your hands now body roll 
H-O-T-T-O-G-O

H-O-T-T-O-G-O
YOU CAN TAKE ME HOT TO GO 
H-O-T-T-O-G-O
YOU CAN TAKE ME HOT TO GO 

What’s it take to get your number 
What’s it take to bring you home 
Hurry up it’s time for supper
Order up I’m hot to go

What’s it take to get your number 
Hurry up it’s gettin’ cold 
Hurry up it’s time for supper
Order up I’m hot to go

H-O-T-T-O-G-OO
YOU CAN TAKE ME HOT TO GO 
H-O-T-T-O-G-O
YOU CAN TAKE ME HOT TO GO 

(Hot to go)
H-O-T-T-O-G-OO
YOU CAN TAKE ME HOT TO GO 
H-O-T-T-O-G-O
YOU CAN TAKE ME HOT TO GO 

Whew it’s hot in here
Is anyone else hot?
You comin’ home with me? 
It’s hot. I’ll call the cab.

Music video by Chappell Roan performing HOT TO GO!. Amusement Records; © 2023 KRA International Inc., under exclusive license to Island Records, a division of UMG Recordings, Inc.

http://vevo.ly/BtA3yc",38081144,521758,0,12051
63,Tommy Richman,Tommy Richman - MILLION DOLLAR BABY (Official Music Video),2024-07-05T22:00:06Z,"Official Music Video for “MILLION DOLLAR BABY” by Tommy Richman - available everywhere now: https://tommyrichman.ffm.to/MILLIONDOLLARBABY

“COYOTE” Album available everywhere now: https://tommyrichman.ffm.to/COYOTE

Follow Tommy Richman:
https://everythingispunk.com 
Instagram: https://www.instagram.com/tommyrichman.png
X: https://twitter.com/tommyrichmann 
TikTok: https://www.tiktok.com/@tommyrichman 

Lyrics:
I ain’t never rep a set baby
I ain’t do no wrong
I could clean up good for you
Oh I know right from wrong
Cause I wanna make it (so badly)
I’m a Million Dollar Baby (don’t at me)
Hell no

You rep my city for so damn long
But you still don’t notice me
My sound next
VA next
I’m at they neck
I’m running up a check
She a bad lil mama she a diva
No matter what happens he cannot come between us again
I know we’re better than friends (better than friends)
I took her to Queen’s Gambit, showed around my friends
Tried to pick some energy up it don’t better
I know you haven’t moved on, if you tried
I don’t believe it baby, I know you lied
All night long
What you mean I changed
Haven't stayed the same
I’ve been losing my mind
I said the city is mine

I ain’t never rep a set baby
Ain’t do no wrong
I could clean up, do it for you
Oh I know right from wrong
Cause I wanna make it (so badly)
I’m a Million Dollar Baby (don’t at me)
I ain’t never rep a set baby
Ain’t do no wrong
I could clean up, good for you
Oh I know right from wrong
Cause I wanna make it (so badly)
I’m a Million Dollar Baby (don’t at me)

Hell no
Hell no
Hell no

Shot and edited by Josh Ycay

#TommyRichman #MILLIONDOLLARBABY #MusicVideo #Alternative #RnB",35243695,442112,0,10687
